schema_version	status	latest	organism	assembly	upstream	downstream	jaspar_release	tax_group	background_version	artifact	artifact_sha256	motif_count	promoter_count	annotation_hash	promoter_hash	motif_hash	annotation_snapshot	annotation_source	annotation_retrieved_at	scoring_spec	pscanr_version	pscanr_commit	bioc_version	generated_at
1	validated	TRUE	mm	mm39	950	50	2022	vertebrates	1	BG_files/J2022_mm39_950u_50d_UCSC.psbg1.txt	ba7014d6d11ab6ee67d80bf4de06be86399be58a5e251207425bb7a66d2ae781	841	33374					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	1000	0	2022	vertebrates	1	BG_files/J2022_mm39_1000u_0d_UCSC.psbg1.txt	996a60a450d7115ed16c97a396c590e89bd7e3a4981cbb01df7c00adc01044e2	841	33378					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	200	50	2022	fungi	1	BG_files/J2022_sacCer3_200u_50d_UCSC.psbg1.txt	e5fab78375e63f0dd5d6b8ed4bd1346a4a139ac88f6379116cbd364f20770f1f	179	6544					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	450	50	2022	fungi	1	BG_files/J2022_sacCer3_450u_50d_UCSC.psbg1.txt	1cfe213376f9752d83eda47568b598a3e8848f58f675903de4fbd888192f27a2	179	6570					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	500	0	2022	fungi	1	BG_files/J2022_sacCer3_500u_0d_UCSC.psbg1.txt	a7704968d66d0784b2e2e27bce73e19bdc6ad973ba242437638ba9d8cacc58a7	179	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	950	50	2022	fungi	1	BG_files/J2022_sacCer3_950u_50d_UCSC.psbg1.txt	609190c85d7dc812116d8bfb2af77b793d83b3b4107657b0c43f2a16bb4567f4	179	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	sc	sacCer3	1000	0	2022	fungi	1	BG_files/J2022_sacCer3_1000u_0d_UCSC.psbg1.txt	64a01cfb04e70bb364c8354a43ff3747f656e22d3092e9ee79f9ca8bb20ed9f0	179	6571					sgdGene		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	200	50	2022	plants	1	BG_files/J2022_TAIR9_200u_50d_TAIR.psbg1.txt	3c75f2fd45da3bb1e7cea7c86bb94ffec75556a635d1e24078b3cede492fcbb0	656	36331					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	450	50	2022	plants	1	BG_files/J2022_TAIR9_450u_50d_TAIR.psbg1.txt	224919d7fa04263976a942007992bf4bc96fc2f00a789d40138b38235befb7f0	656	36368					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	500	0	2022	plants	1	BG_files/J2022_TAIR9_500u_0d_TAIR.psbg1.txt	2d45d553dbbaad05eba31c0aaad26953b3ee1e3eb109b219615f6d0289f15392	656	36371					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
