artifact	motif_count	promoter_count	problems	sha256
J2022_hg38_1000u_0d_UCSC.psbg2.txt	841	39862		74ee7f8a93f0c90ab30dbecab200a11b1b6a38fb0575c3b22303ec708fa99b1a
J2022_hg38_200u_50d_UCSC.psbg1.txt	841	39438		349201e1c3e1471592f97f50d13426f31a9046d58df506745a2e75f3a54f0c2d
J2022_hg38_200u_50d_UCSC.psbg2.txt	841	39719		7ff35740ce39b2e42a8d08b884cf7a56ceea575c3d3ee4a0f201f1290175cd75
J2022_hg38_450u_50d_UCSC.psbg1.txt	841	39518		8c696b1b6584140702df469f1f2dad0070588262b37516b3f91cff18ae120f06
J2022_hg38_450u_50d_UCSC.psbg2.txt	841	39799		18011539ff6fcb1665cd864b7d7f539256996ddf3900ec4b77d484d1fc2546c7
J2022_hg38_500u_0d_UCSC.psbg1.txt	841	39524		4859e112fea773b94c3cc11be47066493ba2868c1829f6f2e4f367545abd7ca0
J2022_hg38_500u_0d_UCSC.psbg2.txt	841	39805		e0af21db7aadea43f9ee39a26cd94739077d4f334aed64ffc5c24d2849c68d41
J2022_hg38_950u_50d_UCSC.psbg1.txt	841	39583		e5031e7555d0cf96b9f59a70ce3249e2a1b302c8d623a0393e6213f19c5989fa
J2022_hg38_950u_50d_UCSC.psbg2.txt	841	39864		ba075f7d7a18685e1bf686ed83b4211c9040d1132d9dd117288d2c29f548ee77
J2022_hs1_1000u_0d_UCSC.psbg1.txt	841	39591		52c7d606c0bb9881add73a9a4129a6123b1f40476b1869ac3e5247e14a078e1b
J2022_hs1_1000u_0d_UCSC.psbg2.txt	841	39591		6b124bdb38a33d0858408f9d34047937aa602f40fe116a5f3188e4de9081b6e2
J2022_hs1_200u_50d_UCSC.psbg1.txt	841	39405		efddfbb96e48a47c436b15d2e0ff2c983d4b1d6c8b80894254954d18cf553be0
J2022_hs1_200u_50d_UCSC.psbg2.txt	841	39405		d4152c9da2ce4bc15ca8742bc2c14a3121e82bab64273002bba71987f6e3562d
J2022_hs1_450u_50d_UCSC.psbg1.txt	841	39500		dcffa45ca1b2909b3b9483b8ae73419b485368dca26f976262071d5b4a07cfab
J2022_hs1_450u_50d_UCSC.psbg2.txt	841	39500		153bbb547952a012cd9f0214aaa54494a6c2e419d95c3b28ad655343acf65de9
J2022_hs1_500u_0d_UCSC.psbg1.txt	841	39503		bdf379875c5f146940e944146e0e9700d2bed5476aad04f2231bf4877f1010cb
J2022_hs1_500u_0d_UCSC.psbg2.txt	841	39503		d5ea613ab3856bd8c83144cbb9e541dd8f8e85dd5c36a2807ed3a6cee53cc4a4
J2022_hs1_950u_50d_UCSC.psbg1.txt	841	39591		c9437c88e27ca38c279ad28d279fd61d0886b442110cdf8e753e2c0429fd9490
J2022_hs1_950u_50d_UCSC.psbg2.txt	841	39591		c60a594fb7af29f7fad0d1dea5f06bc3721f6041bdc6767d251c26c443933c47
J2022_mm10_1000u_0d_UCSC.psbg1.txt	841	31508		51b740845c1fb960ad8d48a7064cc11f4b9ebe264f5686689fb357165586edf4
J2022_mm10_1000u_0d_UCSC.psbg2.txt	841	31508		92954888b8d321d6cda8a47e0df86b57799aae693039646828190cb147615722
J2022_mm10_200u_50d_UCSC.psbg1.txt	841	31383		29b16bcb52c50713ef23b1e5c623cc6ce663aa56a563ea96cc832e3f7998c1c6
J2022_mm10_200u_50d_UCSC.psbg2.txt	841	31383		9c38c93b5e0658ace3c297a1cbf1bd5425db7bc1e273a9f3ffd846cac4bba71f
J2022_mm10_450u_50d_UCSC.psbg1.txt	841	31440		0d16ee3c9e25c85c503e02a89fce29f2236f1b9d6a4632b3360e78cabb4a0033
J2022_mm10_450u_50d_UCSC.psbg2.txt	841	31440		aab4d8d240bf6099ad95d071ff15fed3e8900bf4018573cb8bab91dd5668b917
J2022_mm10_500u_0d_UCSC.psbg1.txt	841	31443		f5b84df79aa7fbae107e028d43134085e581d0e3791a0cf67c4fd86d112ac5ca
J2022_mm10_500u_0d_UCSC.psbg2.txt	841	31443		1a93ef250c93e0af4641a892a5a064464aa87b37e63c8102cb89c443b1ad223f
J2022_mm10_950u_50d_UCSC.psbg1.txt	841	31504		6b0503ce3e830f658c54a43a1104f6ee548896bf7930e7f0a0352208c261c90b
J2022_mm10_950u_50d_UCSC.psbg2.txt	841	31504		fa463ab629a2a7bccd971e7a2fc52a3de956d32f2afaa7cd258137e3920fc397
J2022_mm39_1000u_0d_UCSC.psbg1.txt	841	33378		996a60a450d7115ed16c97a396c590e89bd7e3a4981cbb01df7c00adc01044e2
J2022_mm39_1000u_0d_UCSC.psbg2.txt	841	33378		dcab192cc75b9d04024357af2ddd49216aa2aa01432a8e3eb8b204fcc49e2360
J2022_mm39_200u_50d_UCSC.psbg1.txt	841	33248		1e62dd2ebbd0eeb8357893f5fd62c9b3ac466940089e4195757b4d025ef6e8c0
J2022_mm39_200u_50d_UCSC.psbg2.txt	841	33248		fad59e18942acc16dbccab92461e9221e936ce9ec9471a47490860dfd83be6b6
J2022_mm39_450u_50d_UCSC.psbg1.txt	841	33308		e227c71d3446779bac6e16f35ecbdb13a7d20da8fb26d6833deacfceea94ef39
J2022_mm39_450u_50d_UCSC.psbg2.txt	841	33308		c5ee821d703099b7f05bbc35ba81d031405af13dcd48be3bbb202446be9f1d5d
J2022_mm39_500u_0d_UCSC.psbg1.txt	841	33312		ad541c04cdfcc70aecfb2afd08ddf80f04b270df0087316af03dae83b8ceb1e0
J2022_mm39_500u_0d_UCSC.psbg2.txt	841	33312		9923caa19670fe6029001f9ee476c101563c48abff81989749c247be71dafdd6
J2022_mm39_950u_50d_UCSC.psbg1.txt	841	33374		ba7014d6d11ab6ee67d80bf4de06be86399be58a5e251207425bb7a66d2ae781
J2022_mm39_950u_50d_UCSC.psbg2.txt	841	33374		d334072fb2caa9f7b05318063c2de0a4381e4611fbe6a1e47a88c09e09a83dfd
J2022_sacCer3_1000u_0d_UCSC.psbg1.txt	179	6571		64a01cfb04e70bb364c8354a43ff3747f656e22d3092e9ee79f9ca8bb20ed9f0
J2022_sacCer3_1000u_0d_UCSC.psbg2.txt	179	6571		1894fa92a3df130ee8742d16fb4d5f348f261951f26918d6aa9d5ffb8f9e95a1
J2022_sacCer3_200u_50d_UCSC.psbg1.txt	179	6544		e5fab78375e63f0dd5d6b8ed4bd1346a4a139ac88f6379116cbd364f20770f1f
J2022_sacCer3_200u_50d_UCSC.psbg2.txt	179	6544		e89736815bd8e2e0b595a096125e26bf7e131da5de067d47e5b1c0476b5e8e2f
J2022_sacCer3_450u_50d_UCSC.psbg1.txt	179	6570		1cfe213376f9752d83eda47568b598a3e8848f58f675903de4fbd888192f27a2
J2022_sacCer3_450u_50d_UCSC.psbg2.txt	179	6570		bbe27d2667b4e6c59d0ac650764671babd1208b94f94ec981f99f40212392e69
J2022_sacCer3_500u_0d_UCSC.psbg1.txt	179	6571		a7704968d66d0784b2e2e27bce73e19bdc6ad973ba242437638ba9d8cacc58a7
J2022_sacCer3_500u_0d_UCSC.psbg2.txt	179	6571		7b226e1779f8de29cac2c54f87751c818ced50872c3239eb970793dcf3dd1256
J2022_sacCer3_950u_50d_UCSC.psbg1.txt	179	6571		609190c85d7dc812116d8bfb2af77b793d83b3b4107657b0c43f2a16bb4567f4
J2022_sacCer3_950u_50d_UCSC.psbg2.txt	179	6571		af5b5033e99b4892ccf0f1c903572724d054f7501fe6f6703d5eafe796453ab6
J2022_TAIR9_1000u_0d_TAIR.psbg1.txt	656	36405		e64cb7a5d71fc9cd42e80f7a4926c01335d0fba80d78cad52e572b679f8e8a19
J2022_TAIR9_1000u_0d_TAIR.psbg2.txt	656	36405		e9a9ca242f894f902018315ca8ca74e6d0f2633d410989218977654ea8103319
J2022_TAIR9_200u_50d_TAIR.psbg1.txt	656	36331		3c75f2fd45da3bb1e7cea7c86bb94ffec75556a635d1e24078b3cede492fcbb0
J2022_TAIR9_200u_50d_TAIR.psbg2.txt	656	36331		2d985c18a41f1fdc0af8e4d6effbb81c39ab3abd349f1b1d8f8bc5415af64447
J2022_TAIR9_450u_50d_TAIR.psbg1.txt	656	36368		224919d7fa04263976a942007992bf4bc96fc2f00a789d40138b38235befb7f0
J2022_TAIR9_450u_50d_TAIR.psbg2.txt	656	36368		50d39d9263c7c80bf0ec5503a9c4e36a34084657ef55198f5cc9a5dd11b5cbea
J2022_TAIR9_500u_0d_TAIR.psbg1.txt	656	36371		2d45d553dbbaad05eba31c0aaad26953b3ee1e3eb109b219615f6d0289f15392
J2022_TAIR9_500u_0d_TAIR.psbg2.txt	656	36371		dfb462f45e234ba55e92d284fa8693c06e10116c0b73eb20fcc4a2628abcfa47
J2022_TAIR9_950u_50d_TAIR.psbg1.txt	656	36406		f04c6c37809a7550fa634e2080497788dca6955b0ad9644ab10c8afd55622fd2
J2022_TAIR9_950u_50d_TAIR.psbg2.txt	656	36406		c19383cf66d8544a6c55a691b3edb00990de67ee2d5bca66b03285a8a118ee85
