key	organism	assembly	upstream	downstream	jaspar_release	reference_artifact	reference_sha256	candidate_artifact	candidate_sha256	reference_size	candidate_size	reference_motifs	candidate_motifs	shared_motifs	added_motifs	removed_motifs	mean_correlation	sd_correlation	mean_absolute_delta	mean_maximum_delta	sd_absolute_delta	sd_maximum_delta	normalized_mean_shift_p95	normalized_mean_shift_maximum	sd_ratio_p01	sd_ratio_median	sd_ratio_p99	sd_ratio_minimum	sd_ratio_maximum	zero_variance_sentinels	promoter_count_delta	promoter_count_relative_delta
mm:mm39:950:50:2020	mm	mm39	950	50	2020	BG_files/J2020_mm39_950u_50d_UCSC.psbg1.txt	03ce660635f94fc896e4394841b5e2e5c270d9d2d7fc7135a37e5fec8e957f25	BG_files/J2020_mm39_950u_50d_UCSC.psbg2.txt	1175ae9441d7e06c63c4351b9d73cf31a0a1a728f188437572d7da4522f9ecf1	33374	33374	746	746	746	0	0	1	1	5.35764462285598e-18	9.99200722162641e-16	4.52981411689386e-18	1.11022302462516e-16	0	2.10352637221239e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
mm:mm39:1000:0:2020	mm	mm39	1000	0	2020	BG_files/J2020_mm39_1000u_0d_UCSC.psbg1.txt	9091559a6d20060ede5d4d64611fe81042c1a532de363ba5a309335945b126be	BG_files/J2020_mm39_1000u_0d_UCSC.psbg2.txt	6005795c85e3bbdaa4a48cbdae5f0fe728df4f05aa0047e4712209347945262e	33378	33378	746	746	746	0	0	1	1	9.37587808999797e-18	9.99200722162641e-16	5.47856368552461e-18	1.04083408558608e-16	0	2.45056478224931e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
sc:sacCer3:200:50:2020	sc	sacCer3	200	50	2020	BG_files/J2020_sacCer3_200u_50d_UCSC.psbg1.txt	6c024295f462075b4a0c96a0d45751fe4bd2585f0700e2b33fb11e8d843fc0f4	BG_files/J2020_sacCer3_200u_50d_UCSC.psbg2.txt	0b1edb71e6b573b42a1695ffec6979e2f18b63bb5597596162b4f1b2222017e3	6544	6544	183	183	183	0	0	1	1	2.73005661793071e-17	9.99200722162641e-16	4.32258964505696e-18	1.04083408558608e-16	0	2.58532088795604e-14	1	1	1	0.999999999999998	1	0	0	0
sc:sacCer3:450:50:2020	sc	sacCer3	450	50	2020	BG_files/J2020_sacCer3_450u_50d_UCSC.psbg1.txt	efa036d41d1423c4d17a32706460bf8ae0908fed3cda12a80854c656da70556f	BG_files/J2020_sacCer3_450u_50d_UCSC.psbg2.txt	72000cb8e164251a1e00e2bbd6dfddb6adb5397cf166db55f6c5a2459450445b	6570	6570	183	183	183	0	0	1	1	1.63803397075843e-17	9.99200722162641e-16	4.32258964505696e-18	1.04083408558608e-16	0	1.82242124230026e-14	1	1	1	0.999999999999999	1	0	0	0
sc:sacCer3:500:0:2020	sc	sacCer3	500	0	2020	BG_files/J2020_sacCer3_500u_0d_UCSC.psbg1.txt	92d133529241defca591ff95b3b41e7b1fea5ab23efbbcab1adc52e2fcf105ba	BG_files/J2020_sacCer3_500u_0d_UCSC.psbg2.txt	aa2026ff5db0707399f84c2e7ee3f1a3ccad3c7a9fb92004276c46e41fce1f43	6571	6571	183	183	183	0	0	1	1	1.63803397075843e-17	9.99200722162641e-16	7.65932551141672e-18	1.11022302462516e-16	0	2.90421438405106e-14	1	1	1	1	1	0	0	0
sc:sacCer3:950:50:2020	sc	sacCer3	950	50	2020	BG_files/J2020_sacCer3_950u_50d_UCSC.psbg1.txt	19380d2f6031de3d2b8cef0ae05cab015c0a86a523162833956fe66b2b7f6ddc	BG_files/J2020_sacCer3_950u_50d_UCSC.psbg2.txt	959da1e8b04a5a4714d89f928f4239139d547754ec354014b35f7357eaf3644f	6571	6571	183	183	183	0	0	1	1	5.46011323586143e-18	9.99200722162641e-16	7.22327480160834e-18	1.11022302462516e-16	0	1.66895701788914e-14	1	1	1	0.999999999999997	1	0	0	0
sc:sacCer3:1000:0:2020	sc	sacCer3	1000	0	2020	BG_files/J2020_sacCer3_1000u_0d_UCSC.psbg1.txt	52b644aea85638bd68c9cfd3595ab482fe6744ecfb598f1adaaf3fa4cb53cfb9	BG_files/J2020_sacCer3_1000u_0d_UCSC.psbg2.txt	3119cae418ccfd42755436a8b7510369934d792ce4ccedcf1cb2711c1827a36d	6571	6571	183	183	183	0	0	1	1	2.18404529434457e-17	9.99200722162641e-16	4.96244666488447e-18	1.04083408558608e-16	0	2.72362578427771e-14	1	1	1	0.999999999999998	1	0	0	0
at:TAIR9:200:50:2020	at	TAIR9	200	50	2020	BG_files/J2020_TAIR9_200u_50d_TAIR.psbg1.txt	c4e018f838843284bb4c7a25f287f85a0f6640fc5a86676eea10642caf9ffaf6	BG_files/J2020_TAIR9_200u_50d_TAIR.psbg2.txt	4b72e41054e30fa15ca4a047a571691835872c46f98f3244fb621c2329aaaaf9	36331	36331	530	530	530	0	0	1	1	7.54113752575578e-18	9.99200722162641e-16	5.23690105955263e-18	1.04083408558608e-16	0	2.18263427978216e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
at:TAIR9:450:50:2020	at	TAIR9	450	50	2020	BG_files/J2020_TAIR9_450u_50d_TAIR.psbg1.txt	55ad48205ecfed521ad81cfe4b750b5693f445e85047fef3ecc474c4f5d02509	BG_files/J2020_TAIR9_450u_50d_TAIR.psbg2.txt	063bac7565c2a3183ca0f25d5e56667cec29643a66af47e6bcf6d63b95015de3	36368	36368	530	530	530	0	0	1	1	9.42642190719472e-18	9.99200722162641e-16	4.98160213289943e-18	1.04083408558608e-16	0	5.03534359282087e-14	0.999999999999998	1	1	0.999999999999998	1.00000000000001	0	0	0
at:TAIR9:500:0:2020	at	TAIR9	500	0	2020	BG_files/J2020_TAIR9_500u_0d_TAIR.psbg1.txt	ca13d52fe93a679f64a28dde2e7802098b2ac3fc5f72794af55eab2f3703a64a	BG_files/J2020_TAIR9_500u_0d_TAIR.psbg2.txt	ec5d910fbe72b6cbc16d610ce3995330fa4746069cc1fab84de63f6431c5ceab	36371	36371	530	530	530	0	0	1	1	7.54113752575578e-18	9.99200722162641e-16	4.37281238472644e-18	1.11022302462516e-16	0	2.1405724259263e-14	0.999999999999998	1	1	0.999999999999997	1	0	0	0
at:TAIR9:950:50:2020	at	TAIR9	950	50	2020	BG_files/J2020_TAIR9_950u_50d_TAIR.psbg1.txt	507b7ef78cd593300d4de31f6188668770d17a3bc5eb02339ffddd878474f919	BG_files/J2020_TAIR9_950u_50d_TAIR.psbg2.txt	bab5e89332bd11d47fefc36a2a817a0df989bb8fde9bae60aa216eb1fa271669	36406	36406	530	530	530	0	0	1	1	9.42642190719472e-18	9.99200722162641e-16	5.10761506464492e-18	1.04083408558608e-16	0	2.61553840625906e-14	0.999999999999998	1	1	0.999999999999996	1.00000000000001	0	0	0
at:TAIR9:1000:0:2020	at	TAIR9	1000	0	2020	BG_files/J2020_TAIR9_1000u_0d_TAIR.psbg1.txt	0728d4c6f009a7d69068a748e05a7a010615eb2e8caaf2d793e6efb21a9336a8	BG_files/J2020_TAIR9_1000u_0d_TAIR.psbg2.txt	c1e5ce982c9747856160ad03529ec1b8a1230a12496083e29dfb497a87470f6f	36405	36405	530	530	530	0	0	1	1	1.69675594329505e-17	9.99200722162641e-16	4.75903383786845e-18	1.11022302462516e-16	0	2.87518036982512e-14	0.999999999999998	1	1	0.999999999999996	1	0	0	0
dm:dm6:200:50:2022	dm	dm6	200	50	2022	BG_files/J2022_dm6_200u_50d_UCSC.psbg1.txt	04e523407feeae3836ab1195464025ccbe274c1a51abd86d9e8b3d9ca8869900	BG_files/J2022_dm6_200u_50d_UCSC.psbg2.txt	deb7c0ae2e9fc597eeeae3a0e95578bf5eb2c96e63c394b10c46b841962f83ba	22400	22400	150	150	150	0	0	1	1	6.66133814775094e-18	9.99200722162641e-16	6.01370805005293e-18	1.11022302462516e-16	0	1.55325155182488e-14	1	1	1	0.999999999999999	1	0	0	0
dm:dm6:450:50:2022	dm	dm6	450	50	2022	BG_files/J2022_dm6_450u_50d_UCSC.psbg1.txt	294b4d1e2e5fd47bd4c54d651c6cce0dbb12b5ee45ae01dce39a38a64a337c2a	BG_files/J2022_dm6_450u_50d_UCSC.psbg2.txt	498ebe805b6acaf1a2a64d3b406af2f565e8ecf06b3799ab82e912e8a8a294c3	22454	22454	150	150	150	0	0	1	1	1.33226762955019e-17	9.99200722162641e-16	6.66133814775094e-18	1.04083408558608e-16	0	1.78675782885917e-14	1	1	1	0.999999999999998	1	0	0	0
